Полное имя,Работа,Емайл
Paul Bondar,Developer,kgpdcsehnomuqrtiyalfbxwjzv@ukr.net
Olha Mahno,Developer,qdfwjpagistzkounlxymrchevb@i.ua
Kate Shevchenko,PM,xfyqhwinplkomtjvadezucrgsb@ukr.net
Denis Bondar,TeamLead,egrfmulwqdavyxbkstjcnziohp@ukr.net
Denis Bondar,TechLead,ifqtasxlbpzvnoejducyhwmkrg@ukr.net
Paul Bondar,TechLead,cnfjlhbursqkteiyzgmwvoxdpa@i.ua
Kate Bondar,PM,arzlgdxmicesfjhvbnokwtpqyu@i.ua
Olha Bondar,TeamLead,neohfutmzxdalrcqspbwvygjki@gmail.com
Denis Mahno,TechLead,tkdromynqsihwgxbcepvjzlfua@i.ua
Denis Bondar,PM,qifazujphytvkldensmgcboxwr@gmail.com
Olha Kovalchuk,PM,acbiqghdlkjoumxnvszryfptew@i.ua
Paul Mahno,PM,ysmkopquthicazjvnwdefgrbxl@ukr.net
Kate Kovalchuk,TeamLead,avyuwsgmkqezdcnhrifjopxtbl@ukr.net
Paul Bondar,Developer,mkhnsbrogtzeqdiajuyfcpxlvw@ukr.net
Paul Bondar,Developer,lkmidonvajhscwbfuyextqrpgz@ukr.net
Paul Kovalchuk,TechLead,ysdoijqxvtaecpnfmgwblukhzr@gmail.com
Olha Bondar,TeamLead,pnzvehftdyjgwocxsqriulbmak@i.ua
Paul Shevchenko,TeamLead,exuvcsbwhkftzmlqgpidjrnoya@i.ua
Paul Mahno,TechLead,bmzjsyhxceniafovuqtgprwdkl@ukr.net
Olha Kovalchuk,TechLead,lgzekwqafhnjcxobismvutypdr@ukr.net
Olha Shevchenko,TeamLead,mwncuobaxzqefdgryskpivlthj@gmail.com
Denis Kovalchuk,PM,dljgztfcxqnriokyapsmehwubv@ukr.net
Paul Kovalchuk,Developer,eutijyogrbwpavxnhckdflqzms@gmail.com
Denis Shevchenko,TeamLead,cjupmfrtdyoslnhgbxiqzekwva@ukr.net
Denis Kovalchuk,Developer,vrghkiumjaxtylepcdbnfoqszw@ukr.net
Denis Kovalchuk,Developer,moxfeswzpackiyvrdtjlnhgqbu@gmail.com
Olha Mahno,TechLead,ywcxijgpzvtedbkomlarnfushq@ukr.net
Denis Shevchenko,TechLead,xvugpcfishkzerwqmjnyabldot@gmail.com
Kate Mahno,TechLead,oahsexiqmzbkwjgrfvpldntcyu@ukr.net
Kate Bondar,PM,dpemrzcsaiobvhlxwgkjnuqfty@ukr.net
Kate Bondar,Developer,mfwulnyxserhapzqobjcitgdvk@gmail.com
Kate Bondar,PM,iudeyozqwvrnpsltgbcxmfjkah@ukr.net
Denis Mahno,TechLead,ebomktwufygzsinhjqpcavdrxl@i.ua
Olha Bondar,PM,wetypjduscimlzrogxhqfankvb@i.ua
Olha Shevchenko,TeamLead,wajyufdoecbmlxzshptviqgrkn@gmail.com
Paul Kovalchuk,TechLead,mxdsancjlybzoptqrgfehkiwuv@gmail.com
Kate Shevchenko,Developer,dchbxaitrmufojwylknevgszpq@gmail.com
Kate Shevchenko,TeamLead,nwiszubhplvtgqockfajmedrxy@i.ua
Olha Kovalchuk,TeamLead,zrqmdupsgkolvxciyhnewjbaft@i.ua
Kate Mahno,Developer,lyjfoixgdzutmhvprkbsnceqwa@ukr.net
Paul Mahno,TechLead,nfgxzapurhwqjdmbtosiyeckvl@gmail.com
Denis Mahno,PM,gzvludbhtxkofiwnyscjapmrqe@ukr.net
Paul Shevchenko,PM,rdyqcpvuhftxbeliszwjgomank@i.ua
Paul Shevchenko,TeamLead,rsxczankfwidohyqjvbemtlpug@ukr.net
Kate Bondar,PM,myehtznlfbjpovdqcxigkuaswr@ukr.net
Kate Bondar,PM,bsgckvaeizxjpmyuhftnrwdqol@gmail.com
Olha Shevchenko,Developer,lbgcatypzdnwfeqimvkuhxrojs@gmail.com
Denis Kovalchuk,TechLead,urxezvaigpbqsojtlhkcydwmnf@ukr.net
Kate Mahno,PM,hvrwnqyolefzdcxujkgaitbmps@ukr.net
Paul Mahno,TechLead,icrjkabpvqtxlgdehsfynomuzw@ukr.net
Olha Bondar,TeamLead,mikpxosldzfcutnawgqbyevjrh@ukr.net
Olha Mahno,Developer,dpyqbtfjnrvozxlsiwhmgeuakc@i.ua
Olha Mahno,TeamLead,oqrcfdizsevnylxhgmpjwubkat@ukr.net
Kate Bondar,TeamLead,volhwrzfcxmtysiedbnpkaguqj@i.ua
Paul Bondar,PM,wpoiubhaqctrndgfzmeslvykxj@i.ua
Kate Bondar,TechLead,sgvyojzkphftwuxdmeqcbranli@ukr.net
Paul Kovalchuk,TeamLead,hrefuapjmxkvnwlzdsbtogqciy@i.ua
Olha Kovalchuk,Developer,gfvzuqnbcwkphjtmodaesixryl@gmail.com
Denis Bondar,PM,rpdzsgtjwcaebivqumxlfonkhy@gmail.com
Paul Kovalchuk,TechLead,ewmgirktlhjxvozyfdpcbansqu@i.ua
Paul Mahno,Developer,qzjyxukrcvedtoghspwnmbilaf@i.ua
Denis Bondar,Developer,jfvydukoqnzgherswpixlbctma@ukr.net
Kate Bondar,TeamLead,qbvfruhzanogymcxkwsdplietj@gmail.com
Olha Bondar,Developer,mdjpzeqiogrhtwavnbykluxscf@ukr.net
Kate Shevchenko,Developer,suqxalbhcvkdmijgnepywozrft@gmail.com
Olha Mahno,TechLead,gxzdanqksijhuwoertvyfmlcpb@i.ua
Olha Kovalchuk,TechLead,ljumirhwsfebantdgozykvcpqx@i.ua
Paul Shevchenko,Developer,kuajxvsreycmplfbdtgqnhwzio@i.ua
Olha Shevchenko,Developer,qbrolufvaxztmwpykjghcneisd@ukr.net
Olha Bondar,Developer,blspmkhxfywveiunaqtzcgrdjo@i.ua
Kate Bondar,TechLead,lzbgarvyjknecuowdmthisxpqf@gmail.com
Paul Bondar,TeamLead,qzrcpltenhdxvgybmaijfswuok@ukr.net
Kate Mahno,PM,jduanpwbktvlciozhqgesyfrxm@ukr.net
Paul Mahno,PM,rmucenvazqgfbptdoxlkjywhsi@ukr.net
Denis Mahno,Developer,rlwujmzfdayteqbipxhvncgsok@i.ua
Olha Shevchenko,PM,dxaiogyemjpckqhuzrsnwvtblf@gmail.com
